pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,0.000216,0.00108
3,needleleaf_evergreen_boreal_tree,0.000216,0.00108
4,needleleaf_deciduous_boreal_tree,0.00072,0.0036
5,broadleaf_evergreen_tropical_tree,0.0081,0.0567
6,broadleaf_evergreen_temperate_tree,0.0081,0.0567
7,broadleaf_deciduous_tropical_tree,0.0081,0.243
8,broadleaf_deciduous_temperate_tree,0.0081,0.243
9,broadleaf_deciduous_boreal_tree,0.0081,0.243
10,broadleaf_evergreen_shrub,0.0081,0.081
11,broadleaf_deciduous_temperate_shrub,0.000405,0.1215
12,broadleaf_deciduous_boreal_shrub,0.000162,0.0486
13,c3_arctic_grass,0.000144,0.018
14,c3_non-arctic_grass,0.000144,0.018
15,c4_grass,0.000144,0.018
16,c3_crop,0.000162,0.1215
17,c3_irrigated,0.000162,0.1215
