pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,1.2,1.8
3,needleleaf_evergreen_boreal_tree,1.2,1.8
4,needleleaf_deciduous_boreal_tree,0.6,0.9
5,broadleaf_evergreen_tropical_tree,1.2,1.8
6,broadleaf_evergreen_temperate_tree,1.2,1.8
7,broadleaf_deciduous_tropical_tree,1.2,1.8
8,broadleaf_deciduous_temperate_tree,1.2,1.8
9,broadleaf_deciduous_boreal_tree,0.6,0.9
10,broadleaf_evergreen_shrub,1.2,1.8
11,broadleaf_deciduous_temperate_shrub,1.2,1.8
12,broadleaf_deciduous_boreal_shrub,0.96,1.44
13,c3_arctic_grass,0.96,1.44
14,c3_non-arctic_grass,1.2,1.8
15,c4_grass,1.2,1.8
16,c3_crop,1.0,1.0
17,c3_irrigated,1.0,1.0
