pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,0.075,0.125
3,needleleaf_evergreen_boreal_tree,0.075,0.125
4,needleleaf_deciduous_boreal_tree,0.075,0.125
5,broadleaf_evergreen_tropical_tree,0.1575,0.2625
6,broadleaf_evergreen_temperate_tree,0.075,0.125
7,broadleaf_deciduous_tropical_tree,0.1575,0.2625
8,broadleaf_deciduous_temperate_tree,0.075,0.125
9,broadleaf_deciduous_boreal_tree,0.075,0.125
10,broadleaf_evergreen_shrub,0.075,0.125
11,broadleaf_deciduous_temperate_shrub,0.075,0.125
12,broadleaf_deciduous_boreal_shrub,0.0825,0.1375
13,c3_arctic_grass,0.0825,0.1375
14,c3_non-arctic_grass,0.1575,0.2625
15,c4_grass,0.2325,0.3875
16,c3_crop,0.1575,0.2625
17,c3_irrigated,0.1575,0.2625
