pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,0.0012,0.12
3,needleleaf_evergreen_boreal_tree,0.0012,0.12
4,needleleaf_deciduous_boreal_tree,0.00012,0.012
5,broadleaf_evergreen_tropical_tree,0.0012,0.12
6,broadleaf_evergreen_temperate_tree,0.0012,0.12
7,broadleaf_deciduous_tropical_tree,0.00012,0.012
8,broadleaf_deciduous_temperate_tree,0.0012,0.12
9,broadleaf_deciduous_boreal_tree,0.0012,0.12
10,broadleaf_evergreen_shrub,0.0012,0.12
11,broadleaf_deciduous_temperate_shrub,0.0012,0.12
12,broadleaf_deciduous_boreal_shrub,0.0012,0.12
13,c3_arctic_grass,0.0012,0.12
14,c3_non-arctic_grass,0.0012,0.12
15,c4_grass,0.012,0.12
16,c3_crop,0.0012,0.12
17,c3_irrigated,0.0012,0.12
