pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,3e-09,3.8e-08
3,needleleaf_evergreen_boreal_tree,4e-09,3.4e-08
4,needleleaf_deciduous_boreal_tree,3.4e-09,3.1e-08
5,broadleaf_evergreen_tropical_tree,1.5e-08,1.7e-07
6,broadleaf_evergreen_temperate_tree,1.3e-08,1.9e-07
7,broadleaf_deciduous_tropical_tree,8.5e-09,6e-08
8,broadleaf_deciduous_temperate_tree,1.2e-08,2.2e-07
9,broadleaf_deciduous_boreal_tree,1.3e-08,2.3e-07
10,broadleaf_evergreen_shrub,2.4e-09,2e-08
11,broadleaf_deciduous_temperate_shrub,9.5e-10,4.1e-09
12,broadleaf_deciduous_boreal_shrub,5.9e-10,6.2e-09
13,c3_arctic_grass,2.3e-10,3.6e-09
14,c3_non-arctic_grass,4e-10,3e-09
15,c4_grass,3.1e-10,1.9e-09
16,c3_crop,1.6e-09,3.1e-08
17,c3_irrigated,1.6e-09,3.1e-08
