pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,2.65,3.97
3,needleleaf_evergreen_boreal_tree,2.81,3.97
4,needleleaf_deciduous_boreal_tree,0.41,0.61
5,broadleaf_evergreen_tropical_tree,1.12,1.68
6,broadleaf_evergreen_temperate_tree,1.12,1.68
7,broadleaf_deciduous_tropical_tree,0.39,0.58
8,broadleaf_deciduous_temperate_tree,0.39,0.58
9,broadleaf_deciduous_boreal_tree,0.39,0.58
10,broadleaf_evergreen_shrub,1.06,1.59
11,broadleaf_deciduous_temperate_shrub,0.31,0.47
12,broadleaf_deciduous_boreal_shrub,0.31,0.47
13,c3_arctic_grass,0.26,0.39
14,c3_non-arctic_grass,0.26,0.39
15,c4_grass,0.11,0.17
16,c3_crop,0.26,0.39
17,c3_irrigated,1.0,1.0
