pft_index,pft_name,param_min,param_max
0,not_vegetated,1.0,1.0
1,needleleaf_evergreen_temperate_tree,40.6,75.4
2,needleleaf_evergreen_boreal_tree,40.6,75.4
3,needleleaf_deciduous_boreal_tree,18.07,33.56
4,broadleaf_evergreen_tropical_tree,20.72,38.48
5,broadleaf_evergreen_temperate_tree,20.72,38.48
6,broadleaf_deciduous_tropical_tree,16.42,30.49
7,broadleaf_deciduous_temperate_tree,16.42,30.49
8,broadleaf_deciduous_boreal_tree,16.42,30.49
9,broadleaf_evergreen_shrub,25.49,47.34
10,broadleaf_deciduous_temperate_shrub,16.28,30.23
11,broadleaf_deciduous_boreal_shrub,14.98,27.82
12,c3_arctic_grass,14.49,26.91
13,c3_non-arctic_grass,19.62,36.43
14,c4_grass,24.75,45.97
15,c3_crop,25.0,25.0
16,c3_irrigated,25.0,25.0
