pft_index,pft_name,param_min,param_max
0,not_vegetated,9.0,9.0
1,needleleaf_evergreen_temperate_tree,1.53,4.14
2,needleleaf_evergreen_boreal_tree,1.53,4.14
3,needleleaf_deciduous_boreal_tree,1.53,4.14
4,broadleaf_evergreen_tropical_tree,2.91,9.11
5,broadleaf_evergreen_temperate_tree,1.7,9.11
6,broadleaf_deciduous_tropical_tree,2.05,7.07
7,broadleaf_deciduous_temperate_tree,2.05,7.07
8,broadleaf_deciduous_boreal_tree,2.05,7.07
9,broadleaf_evergreen_shrub,2.8,5.95
10,broadleaf_deciduous_temperate_shrub,2.8,5.95
11,broadleaf_deciduous_boreal_shrub,0.91,5.95
12,c3_arctic_grass,3.78,8.54
13,c3_non-arctic_grass,3.78,8.54
14,c4_grass,0.65,3.93
15,c3_crop,3.89,7.57
16,c3_irrigated,3.89,7.57
