pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,0.0073,0.0127
3,needleleaf_evergreen_boreal_tree,0.0073,0.0127
4,needleleaf_deciduous_boreal_tree,0.0177,0.0226
5,broadleaf_evergreen_tropical_tree,0.0158,0.022
6,broadleaf_evergreen_temperate_tree,0.0158,0.022
7,broadleaf_deciduous_tropical_tree,0.0278,0.0336
8,broadleaf_deciduous_temperate_tree,0.0278,0.0336
9,broadleaf_deciduous_boreal_tree,0.0278,0.0336
10,broadleaf_evergreen_shrub,0.0147,0.0212
11,broadleaf_deciduous_temperate_shrub,0.0277,0.0337
12,broadleaf_deciduous_boreal_shrub,0.0248,0.0312
13,c3_arctic_grass,0.0178,0.0242
14,c3_non-arctic_grass,0.0371,0.0434
15,c4_grass,0.0351,0.0418
16,c3_crop,0.0371,0.0434
17,c3_irrigated,0.0371,0.0434
