pft_index,pft_name,param_min,param_max
0,not_vegetated,0.0,0.0
1,needleleaf_evergreen_temperate_tree,-0.15,0.17
2,needleleaf_evergreen_boreal_tree,-0.15,0.17
3,needleleaf_deciduous_boreal_tree,-0.15,0.17
4,broadleaf_evergreen_tropical_tree,0.09,0.45
5,broadleaf_evergreen_temperate_tree,0.09,0.45
6,broadleaf_deciduous_tropical_tree,-0.42,0.84
7,broadleaf_deciduous_temperate_tree,-0.3,0.95
8,broadleaf_deciduous_boreal_tree,-0.3,0.95
9,broadleaf_evergreen_shrub,0.01,0.01
10,broadleaf_deciduous_temperate_shrub,0.25,0.25
11,broadleaf_deciduous_boreal_shrub,0.25,0.25
12,c3_arctic_grass,-0.02,0.54
13,c3_non-arctic_grass,-0.41,0.04
14,c4_grass,-0.41,0.04
15,c3_crop,-0.02,0.54
16,c3_irrigated,-0.02,0.54
