parameter_name,category,subcategory,coord,strategy,param_type,group_name,slice_index,slice_dim,base_params,root_param,precision,param_min,param_max,units,long_name
fates_alloc_storage_cushion,biogeochemistry,allocation,['fates_pft'],uniform,default,,,,,,,1,6,fraction,"maximum size of storage C pool, relative to maximum size of leaf C pool"
fates_alloc_store_priority_frac,biogeochemistry,allocation,['fates_pft'],uniform,default,,,,,,,0.4,1,unitless,"for high-priority organs, the fraction of their turnover demand that is gauranteed to be replaced, and if need-be by storage"
fates_allom_agb_frac,biogeochemistry,allocation,['fates_pft'],uniform,default,,,,,,,0.7,0.9,unitless,Fraction of woody biomass that is above ground
fates_allom_blca_expnt_diff,biogeochemistry,allocation,['fates_pft'],uniform,default,,,,,,,-0.3,0,unitless,difference between allometric DBH:bleaf and DBH:crown area exponents
fates_allom_fnrt_prof_a,biogeochemistry,allometry,['fates_pft'],uniform,default,,,,,,,0.01,7,unitless,"Fine root profile function, parameter a"
fates_allom_fnrt_prof_b,biogeochemistry,allometry,['fates_pft'],uniform,default,,,,,,,0.01,3,unitless,"Fine root profile function, parameter a"
fates_allom_h2cd1,biogeochemistry,allometry,['fates_pft'],uniform,default,,,,,,,0.3,0.7,variable,Parameter 1 for h2cd allometry (exp(log-intercept) or scaling). If allom_dmode=1; this is the same as former crown_depth_frac parameter
fates_allom_l2fr,biogeochemistry,allometry,['fates_pft'],uniform,default,,,,,,,0.7,1,gC/gC,Allocation parameter: fine root C per leaf C
fates_allom_la_per_sa_int,biogeochemistry,allometry,['fates_pft'],uniform,default,,,,,,,0.15,0.35,m2/cm2,"Leaf area per sapwood area, intercept"
fates_frag_seed_decay_rate,biogeochemistry,decomposition,['fates_pft'],uniform,default,,,,,,,0.2,0.55,yr-1,fraction of seeds that decay per year
fates_grperc,biogeochemistry,respiration,['fates_pft'],uniform,default,,,,,,,0.15,0.4,unitless,growth respiration factor
fates_leaf_fnps,stomatal,photosynthesis,['fates_pft'],uniform,default,,,,,,,0.1,0.4,unitless,fraction of light absorbed by non-photosynthetic pigments
fates_leaf_slamax,stomatal,photosynthesis,['fates_pft'],uniform,default,,,,,,,0.03,0.05,m^2/gC,"Maximum Specific Leaf Area (SLA), even if under a dense canopy"
fates_leaf_slatop,stomatal,photosynthesis,['fates_pft'],uniform,default,,,,,,,pft,pft,m^2/gC,"Specific Leaf Area (SLA) at top of canopy, projected area basis"
fates_leaf_stomatal_intercept,stomatal,photosynthesis,['fates_pft'],uniform,default,,,,,,,10000,20000,umol H2O/m**2/s,Minimum unstressed stomatal conductance for Ball-Berry model and Medlyn model
fates_leaf_stomatal_slope_medlyn,stomatal,vegetation water,['fates_pft'],uniform,default,,,,,,,pft,pft,KPa**0.5,"stomatal slope parameter, as per Medlyn"
fates_leafn_vert_scaler,stomatal,photosynthesis,['fates_pft'],posterior,joint,,,,"['fates_leafn_vert_scaler_coeff1', 'fates_leafn_vert_scaler_coeff2']",,,,,unitless,"Coefficient one for decrease in leaf nitrogen through the canopy, from Lloyd et al. 2010"
fates_leaf_vcmax25top,stomatal,photosynthesis,"['fates_leafage_class', 'fates_pft']",uniform,sliced,,0,fates_leafage_class,fates_leaf_vcmax25top,,,pft,pft,umol CO2/m^2/s,"maximum carboxylation rate of Rub. at 25C, canopy top"
fates_maintresp_leaf_ryan1991_baserate,biogeochemistry,respiration,['fates_pft'],uniform,default,,,,,,,50percent,50percent,gC/gN/s,Leaf maintenance respiration base rate per Ryan et al 1991
